timestamp,util_gpu,util_mem,mem_used_mb,mem_total_mb,power_w,temp_c
2026-01-05 08:44:31,0,0,0,81559,70.61,30
2026-01-05 08:44:41,0,0,4,81559,70.47,30
2026-01-05 08:44:51,0,0,669,81559,117.12,32
2026-01-05 08:45:01,1,0,3491,81559,121.75,33
2026-01-05 08:45:11,0,0,3515,81559,119.22,32
2026-01-05 08:45:21,0,0,3515,81559,118.57,32
2026-01-05 08:45:31,0,0,3515,81559,166.40,32
2026-01-05 08:45:41,0,0,3515,81559,118.54,32
2026-01-05 08:45:51,0,0,3515,81559,118.43,32
2026-01-05 08:46:01,0,0,3515,81559,166.41,32
2026-01-05 08:46:11,0,0,3515,81559,118.83,32
2026-01-05 08:46:21,0,0,3515,81559,119.10,32
2026-01-05 08:46:31,0,0,3515,81559,166.85,33
2026-01-05 08:46:41,0,0,3515,81559,119.90,32
2026-01-05 08:46:51,0,0,3515,81559,119.17,32
2026-01-05 08:47:01,0,0,3515,81559,161.98,33
2026-01-05 08:47:11,0,0,3515,81559,118.66,32
2026-01-05 08:47:21,0,0,3515,81559,118.67,32
2026-01-05 08:47:31,0,0,3515,81559,167.30,33
2026-01-05 08:47:41,0,0,3515,81559,119.18,32
2026-01-05 08:47:51,0,0,3515,81559,120.52,32
2026-01-05 08:48:02,0,0,3515,81559,165.95,33
2026-01-05 08:48:12,0,0,3515,81559,119.07,32
2026-01-05 08:48:22,0,0,3515,81559,117.98,32
2026-01-05 08:48:32,0,0,3515,81559,165.99,33
2026-01-05 08:48:42,0,0,3515,81559,120.07,32
2026-01-05 08:48:52,0,0,3515,81559,118.64,32
2026-01-05 08:49:02,0,0,3515,81559,166.54,33
2026-01-05 08:49:12,0,0,3515,81559,118.00,32
2026-01-05 08:49:22,0,0,3515,81559,120.08,32
2026-01-05 08:49:32,0,0,3515,81559,169.30,33
2026-01-05 08:49:42,0,0,3515,81559,120.01,32
2026-01-05 08:49:52,0,0,3515,81559,120.07,32
2026-01-05 08:50:02,0,0,3515,81559,166.78,33
2026-01-05 08:50:12,0,0,3515,81559,119.99,32
2026-01-05 08:50:22,0,0,3515,81559,119.91,32
2026-01-05 08:50:32,0,0,3515,81559,164.54,33
2026-01-05 08:50:42,0,0,3515,81559,120.08,33
2026-01-05 08:50:52,0,0,3515,81559,120.02,33
2026-01-05 08:51:02,0,0,3515,81559,166.38,33
2026-01-05 08:51:12,0,0,3515,81559,119.54,33
2026-01-05 08:51:22,0,0,3515,81559,119.37,33
2026-01-05 08:51:32,0,0,3515,81559,136.63,33
2026-01-05 08:51:42,0,0,3515,81559,119.45,33
2026-01-05 08:51:52,0,0,3515,81559,119.46,33
2026-01-05 08:52:02,0,0,3515,81559,165.42,33
2026-01-05 08:52:12,0,0,3515,81559,120.16,33
2026-01-05 08:52:23,0,0,3515,81559,118.90,33
2026-01-05 08:52:33,0,0,3515,81559,164.35,33
2026-01-05 08:52:43,0,0,3515,81559,118.13,32
2026-01-05 08:52:53,0,0,3515,81559,118.87,32
2026-01-05 08:53:03,0,0,3515,81559,167.72,33
2026-01-05 08:53:13,0,0,3515,81559,119.37,33
2026-01-05 08:53:23,0,0,3515,81559,120.08,33
2026-01-05 08:53:33,0,0,3515,81559,166.87,33
2026-01-05 08:53:43,0,0,3515,81559,119.38,32
2026-01-05 08:53:53,0,0,3515,81559,119.97,32
2026-01-05 08:54:03,0,0,3515,81559,166.37,33
2026-01-05 08:54:13,0,0,3515,81559,119.06,32
2026-01-05 08:54:23,0,0,3515,81559,118.98,32
2026-01-05 08:54:33,0,0,3515,81559,167.81,33
2026-01-05 08:54:43,0,0,3515,81559,119.28,32
2026-01-05 08:54:53,0,0,3515,81559,120.15,32
2026-01-05 08:55:03,0,0,3515,81559,167.64,34
2026-01-05 08:55:13,0,0,3515,81559,123.35,33
2026-01-05 08:55:23,0,0,3515,81559,119.26,32
2026-01-05 08:55:33,0,0,3515,81559,119.31,32
2026-01-05 08:55:43,0,0,3515,81559,119.31,32
2026-01-05 08:55:53,0,0,3515,81559,118.01,32
2026-01-05 08:56:03,0,0,3515,81559,117.99,32
2026-01-05 08:56:13,0,0,3515,81559,119.33,32
2026-01-05 08:56:23,0,0,3515,81559,120.04,32
2026-01-05 08:56:33,0,0,3515,81559,130.16,35
2026-01-05 08:56:43,0,0,3515,81559,119.06,32
2026-01-05 08:56:53,0,0,3515,81559,119.97,32
2026-01-05 08:57:04,0,0,3515,81559,119.00,32
2026-01-05 08:57:14,0,0,3515,81559,119.09,32
2026-01-05 08:57:24,0,0,3515,81559,117.89,32
2026-01-05 08:57:34,0,0,3515,81559,119.82,32
2026-01-05 08:57:44,0,0,3515,81559,119.19,32
2026-01-05 08:57:54,0,0,3515,81559,119.21,32
2026-01-05 08:58:04,0,0,3515,81559,117.82,32
2026-01-05 08:58:14,0,0,3515,81559,119.03,32
2026-01-05 08:58:24,0,0,3515,81559,118.88,32
2026-01-05 08:58:34,0,0,3515,81559,119.13,32
2026-01-05 08:58:44,0,0,3515,81559,119.46,32
2026-01-05 08:58:54,0,0,3515,81559,119.18,32
2026-01-05 08:59:04,0,0,3515,81559,119.09,32
2026-01-05 08:59:14,0,0,3515,81559,120.06,32
2026-01-05 08:59:24,0,0,3515,81559,119.92,32
2026-01-05 08:59:34,0,0,3515,81559,117.82,32
2026-01-05 08:59:44,0,0,3515,81559,119.11,32
2026-01-05 08:59:54,0,0,3515,81559,119.30,32
2026-01-05 09:00:04,0,0,3515,81559,117.87,32
2026-01-05 09:00:14,0,0,3515,81559,117.89,32
2026-01-05 09:00:24,0,0,3515,81559,118.97,32
2026-01-05 09:00:34,0,0,3515,81559,119.86,32
2026-01-05 09:00:44,0,0,3515,81559,119.01,32
2026-01-05 09:00:54,0,0,3515,81559,119.06,32
2026-01-05 09:01:04,0,0,3515,81559,119.24,32
2026-01-05 09:01:14,0,0,3515,81559,118.01,32
2026-01-05 09:01:24,0,0,3515,81559,119.98,32
2026-01-05 09:01:34,0,0,3515,81559,118.71,32
2026-01-05 09:01:44,0,0,3515,81559,120.15,33
2026-01-05 09:01:55,0,0,3515,81559,119.10,32
2026-01-05 09:02:05,0,0,3515,81559,119.10,32
2026-01-05 09:02:15,0,0,3515,81559,123.23,33
2026-01-05 09:02:25,0,0,3515,81559,119.07,32
2026-01-05 09:02:35,0,0,3515,81559,118.85,32
2026-01-05 09:02:45,0,0,3515,81559,118.86,32
2026-01-05 09:02:55,0,0,3515,81559,118.90,32
2026-01-05 09:03:05,0,0,3515,81559,118.88,32
2026-01-05 09:03:15,0,0,3515,81559,118.74,32
2026-01-05 09:03:25,0,0,3515,81559,118.01,32
2026-01-05 09:03:35,0,0,3515,81559,118.66,32
2026-01-05 09:03:45,0,0,3515,81559,118.03,32
2026-01-05 09:03:55,0,0,3515,81559,118.75,32
2026-01-05 09:04:05,0,0,3515,81559,119.94,32
2026-01-05 09:04:15,0,0,3515,81559,118.78,32
2026-01-05 09:04:25,0,0,3515,81559,117.96,32
2026-01-05 09:04:35,0,0,3515,81559,119.00,32
2026-01-05 09:04:45,0,0,3515,81559,118.46,32
2026-01-05 09:04:55,0,0,3515,81559,118.57,32
2026-01-05 09:05:05,0,0,3515,81559,118.57,32
2026-01-05 09:05:15,0,0,3515,81559,119.91,32
2026-01-05 09:05:25,0,0,3515,81559,119.99,32
2026-01-05 09:05:35,0,0,3515,81559,119.99,32
2026-01-05 09:05:45,0,0,3515,81559,120.03,32
2026-01-05 09:05:55,0,0,3515,81559,119.02,32
2026-01-05 09:06:05,0,0,3515,81559,119.25,32
2026-01-05 09:06:15,0,0,3515,81559,117.38,32
2026-01-05 09:06:25,0,0,3515,81559,119.19,32
2026-01-05 09:06:35,0,0,3515,81559,118.53,32
2026-01-05 09:06:45,0,0,3515,81559,118.13,32
2026-01-05 09:06:56,0,0,3515,81559,118.05,32
2026-01-05 09:07:06,0,0,3515,81559,163.79,33
2026-01-05 09:07:16,0,0,3515,81559,118.76,32
2026-01-05 09:07:26,0,0,3515,81559,120.08,32
2026-01-05 09:07:36,0,0,3515,81559,165.48,33
2026-01-05 09:07:46,0,0,3515,81559,117.96,32
2026-01-05 09:07:56,0,0,3515,81559,118.85,32
2026-01-05 09:08:06,0,0,3515,81559,164.26,33
2026-01-05 09:08:16,0,0,3515,81559,118.96,32
2026-01-05 09:08:26,0,0,3515,81559,117.90,32
2026-01-05 09:08:36,0,0,3515,81559,166.18,33
2026-01-05 09:08:46,0,0,3515,81559,118.50,32
2026-01-05 09:08:56,0,0,3515,81559,119.05,32
2026-01-05 09:09:06,0,0,3515,81559,164.85,33
2026-01-05 09:09:16,0,0,3515,81559,118.90,32
2026-01-05 09:09:26,0,0,3515,81559,119.39,32
2026-01-05 09:09:36,0,0,3515,81559,120.72,32
2026-01-05 09:09:46,0,0,3515,81559,119.27,32
2026-01-05 09:09:56,0,0,3515,81559,119.19,32
2026-01-05 09:10:06,0,0,3515,81559,120.15,32
2026-01-05 09:10:16,0,0,3515,81559,119.98,32
2026-01-05 09:10:26,0,0,3515,81559,119.99,32
2026-01-05 09:10:36,0,0,3515,81559,118.94,32
2026-01-05 09:10:46,0,0,3515,81559,119.96,32
2026-01-05 09:10:56,0,0,3515,81559,119.97,32
2026-01-05 09:11:07,0,0,3515,81559,118.70,32
2026-01-05 09:11:17,0,0,3515,81559,119.19,32
2026-01-05 09:11:27,0,0,3515,81559,117.82,32
2026-01-05 09:11:37,0,0,3515,81559,119.28,32
2026-01-05 09:11:47,0,0,3515,81559,119.24,32
2026-01-05 09:11:57,0,0,3515,81559,119.02,32
2026-01-05 09:12:07,0,0,3515,81559,118.95,32
2026-01-05 09:12:17,0,0,3515,81559,117.69,32
2026-01-05 09:12:27,0,0,3515,81559,118.99,32
2026-01-05 09:12:37,0,0,3515,81559,118.96,32
2026-01-05 09:12:47,0,0,3515,81559,119.02,32
